key	English	Nepali
hello_world	Hello World	नमस्कार संसार
settings	Settings	सेटिङहरू
change_language	Change Language	भाषा परिवर्तन गर्नुहोस्
ok	OK	ठिक छ
once_a_day	Once a day	दिनमा एकपटक
twice_a_day	Twice a day	दिनको दुई पटक
thrice_a_day	3 times a day	दिनको तीन पटक
four_times_a_day	4 times a day	दिनको चार पटक
five_min_before	5 minutes before/after exact time (default)	औषधि खाने समय भन्दा ५ मिनेट अघि वा पछि  (पूर्वनिर्धारित)
ten_min_before	10 minutes before/after exact time	औषधि खाने समय भन्दा १० मिनेट अघि वा पछि 
fifteen_min_before	15 minutes before/after exact time	औषधि खाने समय भन्दा १५ मिनेट अघि वा पछि 
app_name	Medicine Tracker	औषधि ट्र्याकर
add_medicine_msg	Please click add icon below to add medicine that you should take daily.	तपाईंले दैनिक लिनु पर्ने औषधी थप्न कृपया तलको "+" आइकन  क्लिक गर्नुहोस्।
todays_shedule	Today's Schedule	आज खानुपर्ने औषधिहरु
delete_confirmation_msg	Are you sure you want to delete this medicine?	के तपाईं यो औषधि मेटाउन निश्चित हुनुहुन्छ?
never_miss_msg	Never miss to take medicine again	फेरि औषधि लिन कहिले पनि नबिर्सनुहोस्
add_mediicne	Add medicine	औषधि थप्नुहोस्
confirmation	Confirmation	पुष्टीकरण
yes	Yes	हुन्छ
no	No	हुदैन
you_can_only_mark_as_taken	You can only mark this medicine as taken	तपाईं केवल यो औषधि लिने समय भन्दा 
min_before_or_after	minutes before/after exact schedule	 मिनेट अघि वा पछि खायेको भनी चिन्ह लगाउन सक्नुहुन्छ
information	Information	सुचना
are_you_sure_med_taken	You can not undo this action. Are you sure you have taken the medicine?	तपाईं यो कार्यलाई अनडू गर्न सक्नुहुन्न।के तपाइँ निश्चय हुनुहुन्छ कि तपाईंले औषधि लिनुभयो?
med_name	Medicine name	औषधि नाम
missed	Missed	छुटेको
times	times	पटक
missed_at	Missed at	छुटेको समय
total_med_taking_time	Total medicine taking time	कुल औषधि लिने समय
missed_med_today	Missed medicines today	आज खान छुटेको औषधीहरू
no_missed_med_msg	Congratulations!! No medicine missed today.	बधाई छ !! आज कुनै औषधि खान छुटेको छैन।
total	Total	कुल
missed	Missed	छुटेको
taken	Taken	खानुभएको
enter_name_of_med	Enter the name of the Medicine	औषधि को नाम यहाँ लेख्नुहोस्
how_many_times_med_take	How many times you should take this medicine during day?	दिनको तपाईले कति पटक यो औषधि खानुपर्छ ?
medicine_added	Medicine Added	औषधि थपियो
go_home	Goto Homepage	गृह पृष्ठमा जानुहोस्
select_all_time	Please select all time by clicking on calender icon.	कृपया क्यालेन्डर आइकनमा क्लिक गरेर सबै समय चयन गर्नुहोस्
select_time_here	Select time here >	यहाँ समय चयन गर्नुहोस् >
when_can_mark	When you can tick mark medicine as taken?	तपाईले खाने औषधिलाई कहिले टिक मार्क गर्न सक्नुहुन्छ?
settings_changed	settings changed	सेटिङहरू परिवर्तन भयो
cancel	cancel	रद्द गर्नुहोस्
thank_u	Thank You.	धन्यवाद !!
return_back	Return	फर्कनुहोस्
time_for_taking_med	Time of taking medicines	औषधि खाने समय
med_name_cannot_be_empty	Medicine name can not be empty.	कृपया औषधिको नाम लेख्नुहोस्
save	Save	सेभ गर्नुहोस 
medicine_time	Medicine Time	औषधि खाने समय भयो
